,dxcc,prefix,name,continent
164,521,Z8,REPUBLIC OF SOUTH SUDAN,AF
165,298,FW,WALLIS & FUTUNA ISLANDS,OC
166,47,CE0Y,EASTER ISLAND,SA
167,406,TJ,CAMEROON,AF
168,458,9L,SIERRA LEONE,AF
169,404,9U,BURUNDI,AF
170,187,5U,NIGER,AF
171,436,5A,LIBYA,AF
172,305,S2,BANGLADESH,AS
173,4,3B7,AGALEGA & ST BRANDON ISLANDS,AF
174,306,A5,BHUTAN,AS
175,173,V6,MICRONESIA,OC
176,460,3D2/R,ROTUMA,OC
177,185,H4,SOLOMON ISLANDS,OC
178,34,ZL7,CHATHAM ISLAND,OC
179,410,TT,CHAD,AF
180,246,1A0,SOV MILITARY ORDER OF MALTA,EU
181,289,4U1UN,UNITED NATIONS HQ,
182,118,JX,JAN MAYEN,EU
183,33,VQ9,CHAGOS ISLANDS,AF
184,211,CY0,SABLE ISLAND,
185,48,T32,EASTERN KIRIBATI,OC
186,508,FO/A,AUSTRAL ISLANDS,OC
187,142,VU7,LAKSHADWEEP ISLANDS,AS
188,38,VK9C,COCOS (KEELING) ISLAND,OC
189,35,VK9X,CHRISTMAS ISLAND,OC
190,513,VP6/D,DUCIE ISLAND,OC
191,172,VP6,PITCAIRN ISLAND,OC
192,51,E3,ERITREA,AF
193,191,E5/N,NORTH COOK ISLANDS,OC
194,252,CY9,SAINT PAUL ISLAND,
195,125,CE0Z,JUAN FERNANDEZ ISLANDS,SA
196,147,VK9L,LORD HOWE ISLAND,OC
197,490,T33,BANABA ISLAND,OC
198,509,FO/M,MARQUESAS ISLANDS,OC
199,11,VU4,ANDAMAN & NICOBAR ISLANDS,AS
200,31,T31,CENTRAL KIRIBATI,OC
201,282,T2,TUVALU,OC
202,232,T5,SOMALIA,AF
203,157,C21,NAURU,OC
204,61,R1F,FRANZ JOSEF LAND,EU
205,247,1S,SPRATLY ISLANDS,AS
206,195,3C0,ANNOBON,AF
207,489,3D2/C,CONWAY REEF,OC
208,270,ZK3,TOKELAU ISLANDS,OC
209,309,XZ,MYANMAR,AS
210,238,VP8O,SOUTH ORKNEY ISLANDS,SA
211,492,7O,YEMEN,AS
212,507,H40,TEMOTU PROVINCE,OC
213,274,ZD9,TRISTAN DA CUNHA & GOUGH ISLANDS,AF
214,10,FT5Z,AMSTERDAM & ST PAUL ISLANDS,AF
215,303,VK9W,WILLIS ISLAND,OC
216,182,KP1,NAVASSA ISLAND,
217,161,HK0/M,MALPELO ISLAND,SA
218,37,TI9,COCOS ISLAND,
219,36,FO/C,CLIPPERTON ISLAND,
220,124,FT/J,JUAN DE NOVA_ EUROPA,AF
221,171,VK9M,MELLISH REEF,OC
222,177,JD/M,MINAMI TORISHIMA,OC
223,180,SV/A,MOUNT ATHOS,EU
224,297,KH9,WAKE ISLAND,OC
225,20,KH1,BAKER HOWLAND ISLANDS,OC
226,204,XF4,REVILLAGIGEDO,
227,235,VP8G,SOUTH GEORGIA ISLAND,SA
228,41,FT5/W,CROZET ISLAND,AF
229,515,KH8/S,SWAINS ISLAND,OC
230,133,ZL8,KERMADEC ISLAND,OC
231,276,FT/T,TROMELIN ISLAND,AF
232,384,YK,SYRIA,AS
233,280,EZ,TURKMENISTAN,AS
234,111,VK0H,HEARD ISLAND,AF
235,512,FK/C,CHESTERFIELD ISLANDS,OC
236,16,ZL9,NEW ZEALAND SUBANTARCTIC ISLANDS,OC
237,197,KH5,PALMYRA & JARVIS ISLANDS,OC
238,240,VP8S,SOUTH SANDWICH ISLANDS,SA
239,43,KP5,DESECHEO ISLAND,
240,273,PY0T,TRINDADE & MARTIM VAZ ISLANDS,SA
241,253,PY0S,SAINT PETER AND PAUL ROCKS,SA
242,153,VK0M,MACQUARIE ISLAND,OC
243,174,KH4,MIDWAY ISLAND,OC
244,201,ZS8,PRINCE EDWARD & MARION ISLANDS,AF
245,24,3Y/B,BOUVET ISLAND,AF
246,17,YV0,AVES ISLAND,
247,131,FT5/X,KERGUELEN ISLAND,AF
248,199,3Y/P,PETER 1 ISLAND,AN
249,99,FT/G,GLORIOSO ISLAND,AF
250,123,KH3,JOHNSTON ISLAND,OC
251,138,KH7K,KURE ISLAND,OC
252,505,BV9P,PRATAS ISLAND,AS
253,217,CE0X,SAN FELIX ISLANDS,SA
254,506,BS7H,SCARBOROUGH REEF,AS
255,344,P5,DPRK (NORTH KOREA),AS
